Phrase,Author
valoro el coraje más que cualquier otra cosa,0
es importante recordar que todos tenemos algo de magia dentro de nosotros,0
sufrir un mínimo de fracaso en la vida es inevitable es imposible vivir sin fracasar en algo a no ser que se viva con tanta precaución que podría decirse entonces que no se ha vivido en absoluto,0
no es bueno dejarse arrastrar por los sueños y olvidarse de vivir recuérdalo,0
la gente encuentra más fácil perdonar a otros por haberse equivocado que por haber tenido razón,0
son nuestras decisiones las que muestran lo que podemos llegar a ser mucho más que nuestras propias habilidades,0
en cuanto a los dragones dijo sirius hablando en aquel momento muy hay una manera harry no se te ocurra emplear el encantamiento aturdidor los dragones son demasiado fuertes y tienen demasiadas cualidades mágicas para que les haga efecto un solo encantamiento de ese tipo,0
mejor morir que traicionar a tus amigos,0
de lo que se tiene más miedo es del miedo,0
has hecho con mi pobre corazón se fue detrás de tu,0
harry ya no podía más no soportaba ser quien era nunca se había sentido tan atrapado por su propia mente y por su propio cuerpo y nunca había deseado con tanta intensidad ser otra persona o tener cualquier otra identidad,0
nunca confíes en nada que piense solo si no puedes entender donde tiene el cerebro,0
yo no busco problemas los problemas normalmente me encuentran a mí,0
todos los opresores comprenden tarde o temprano que entre sus muchas víctimas habrá al menos una que algún día se alzará contra ellos y les plantará cara,0
el miedo a un nombre aumenta el miedo a la cosa que se nombra,0
las cicatrices pueden ser útiles yo tengo una en la rodilla izquierda que es un diagrama perfecto del metro de londres,0
a veces tienes que pensar en algo más que en tu propia seguridad a veces tienes que pensar en el bien mayor,0
el dinero y la vida que uno pueda desear dos cosas que la mayor parte de los seres humanos elegirían el problema es que los humanos tienen el don de elegir precisamente las cosas que son peores para ellos,0
qué le digo señor ministro discrepo de dumbledore en muchos aspectos pero no podrá negar que tiene,0
el hecho de que tú poseas la variedad de emociones de una cucharilla no significa que todos somos así,0
oír voces que nadie más puede escuchar no es una buena señal ni siquiera entre los magos,0
bostezó de forma que las cicatrices del rostro se le tensaron y la boca torcida reveló que le faltaban unos cuantos dientes,0
cuanto más le insinúo que quiero dejarlo más se aferra ella a mí es como salir con el calamar gigante,0
tu madre murió para salvarte si hay algo que voldemort no puede entender es el amor no se dio cuenta de que un amor tan poderoso como el de tu madre hacia ti deja marcas poderosas no una cicatriz no un signo visible haber sido amado tan profundamente aunque esa persona que nos amó no esté nos deja para siempre una protección eso está en tu piel,0
realmente curioso cómo suceden estas cosas la varita escoge al mago recuérdalo creo que debemos esperar grandes cosas de ti harry potter después de todo hizo grandes cosas terribles sí pero grandiosas,0
no te compadezcas de la muerte harry compadécete de la vida sobre todo de los que viven sin amor,0
no hay un regalo más bello que la vida dio la suya por la tuya porque te quería y hay mucha gente que te quiere hay muchas cosas para hacer muchas razones para luchar y vivir entiendo que estés muy triste yo también pasé por algo parecido pero las personas a las que amamos no se van jamás del todo basta con que no las olvidemos,0
y ahora harry adentrémonos en la noche y prosigamos esta peligrosa e indeseable aventura,0
las cosas suceden y ya y para evitarlo no se puede hacer más que lo que está a tu alcance,0
no hay ni bien ni mal sólo hay poder y personas demasiado débiles para buscarlo,0
la música enjugándose los ojos magia más allá de todo lo que hacemos aquí,0
cerca del escaparate brillaba una tortuga gigante con joyas incrustadas en el caparazón,0
el hechizo que trataré de enseñarte es magia muy avanzada bueno muy por encima del nivel corriente de embrujo,0
harry potter y la piedra filosofal,0
la fuerza de tus convicciones determina tu éxito no el número de tus seguidores,0
este dolor es parte de ser el hecho de que puedas sentir dolor así es tu mayor fortaleza,0
es algo emocionante romper las reglas,0
es la vida sin un poco de riesgo,0
las cosas que perdemos tienen una manera de volver a nosotros no siempre de la manera en la que esperamos,0
nos es bueno quedarse sentado preocupado lo que va a venir vendrá y lo enfrentaremos,0
es importante luchar volver a luchar y seguir luchando ya que el mal tan solo puede mantenerse a raya pero nunca erradicarse,0
los tiempos malos sacan lo mejor de algunos y lo peor de otros,0
las consecuencias de nuestras acciones siempre son tan complicadas y diversas que predecir el futuro se vuelve algo verdaderamente difícil,0
somos tan fuertes como unidos estemos y tan débiles como divididos estemos,0
no podemos escoger nuestro destino pero podemos escoger el destino de otros sé cuidadoso al saber eso,0
adormecer nuestro dolor por un momento hará tan solo que se vuelva peor cuando finalmente lo sintamos,0
hay algunas cosas que no se pueden compartir sin llegar a volverse amigos y vencer un troll de doce pies es uno de ellas,0
disculpa no me gusta la gente sólo porque sea guapa,0
das cuenta de que tus sábanas se cambian tu fuego se enciende tus aulas están limpias y la comida preparada por un grupo de criaturas mágicas que están sin pagar y esclavizadas,0
cada vida humana vale lo mismo y vale la pena salvarla,0
el y la sra dursley del número cuatro de privet drive se enorgullecieron de decir que eran perfectamente normales muchas gracias,0
cuando salió mi primer libro la editorial pensó este es un libro que atraerá a los niños por eso no querían que los lectores supieran que lo había escrito una mujer,0
en muchos sentidos hufflepuff es mi casa favorita,0
juro solemnemente que mis intenciones no son buenas,0
vine a este hotel porque es precioso pero no tenía la intención de quedarme pienso que los escritores somos un poco supersticiosos porque el primer día que escribí me fue bien así que seguí viniendo y aquí es donde terminé el último de los libros de harry potter,0
creo que estaría clínicamente trastornada si me hubiera imaginado todo lo que ha ocurrido,0
cuando lo terminé entré en un ligero estado de conmoción,0
se ha escrito mucha basura no necesariamente basura maliciosa pero las cosas se exageran y se alteran,0
iba en tren de manchester a londres ahí sentada sin pensar en nada que tuviera que ver con escribir y la idea me vino así de la nada vi a harry clarísimamente un chavalín flacucho y sentí una emoción muy fuerte,0
no sé describir la emoción que sentí a alguien que no escriba habitualmente fue un sentimiento de alegría parecido al de conocer a alguien en quien crees que puedes acabar enamorándote ese fue el tipo de sentimiento que tuve al bajar del tren como si hubiera conocido a alguien maravilloso,0
cualquiera que sea su parentesco la belleza en su desarrollo supremo induce a las lágrimas inevitablemente a las almas sensibles,1
en el amor desinteresado de un animal en el sacrificio de sí mismo hay algo que llega directamente al corazón del que con frecuencia ha tenido ocasión de comprobar la amistad mezquina y la frágil fidelidad del hombre natural,1
cuando un loco parece completamente sensato es ya el momento de ponerle la camisa de fuerza,1
la corrupción del gusto forma parte de la industria de los dólares y hace juego con ella,1
los hombres de genio abundan mucho más de lo que se supone en realidad para apreciar plenamente la obra de lo que llamamos genio hace falta poseer todo el genio que necesitó para producir la obra,1
no es verdaderamente valiente aquel hombre que teme ya parecer ya ser cuando le cuadra cobarde,1
la ciencia no nos ha enseñado aún si la locura es o no lo más sublime de la inteligencia,1
en la música es acaso donde el alma se acerca más al gran fin por el que lucha cuando se siente inspirada por el sentimiento poético la creación de la belleza sobrenatural,1
en la crítica seré valiente severo y absolutamente justo con amigos y enemigos nada cambiará este propósito,1
todas las obras de arte deben empezar por el final,1
si se me pidiera que definiera en pocas palabras el término arte lo llamaría la reproducción de lo que los sentidos perciben en la naturaleza a través del velo del alma,1
todo lo que vemos o parecemos es solamente un sueño dentro de un sueño,1
no tengo fe en la perfección humana el hombre es ahora más activo no más feliz ni más inteligente de lo que lo fuera hace años,1
es dudoso que el género humano logre crear un enigma que el mismo ingenio humano no resuelva,1
a la muerte se le toma de frente con valor y después se le invita a una copa,1
me volví loco con largos intervalos de horrible cordura,1
tengo una gran fe en los tontos autoconfianza le llaman mis amigos,1
cree solo en la mitad de lo que veas y en nada de lo que escuches,1
el único medio de conservar el hombre su libertad es estar siempre dispuesto a morir por ella,1
tal vez sea la propia simplicidad del asunto lo que nos conduce al error,1
la muerte de una mujer hermosa es sin duda el tema más poético del mundo,1
todo movimiento cualquiera que sea su causa es creador,1
tenemos en nosotros una perpetua inclinación pese a la excelencia de nuestro juicio a violar lo que es la ley simplemente porque comprendemos que es la ley,1
amábamos con un amor que era más que amor,1
para mí la poesía no ha sido un propósito sino una pasión,1
el creyente es feliz el que duda es sabio,1
en una noche pavorosa inquieto releía un vetusto mamotreto cuando creí escuchar un extraño ruido,1
años de amor han sido olvidados en el odio de un minuto,1
me quedé demasiado dentro de mi cabeza y terminé perdiendo la cabeza,1
tengo la intención de soportar todo lo que puedo dejar,1
en lo profundo de la tierra mi amor miente y debo llorar solo,1
una mentira viaja alrededor del mundo mientras la verdad se pone las botas,1
y siendo joven y sumergido en la locura me enamoré de la melancolía,1
temo los eventos del futuro no en sí mismos sino en sus resultados,1
lo que confundes con la locura no es más que una sobreactivación de los sentidos,1
todo sufrimiento proviene del anhelo del apego y del deseo,1
los monstruos más temibles son los que se esconden en nuestras almas,1
los que cotillean contigo chismorrearán sobre ti,1
la poesía es la creación rítmica de la belleza en las palabras,1
para elevar el alma la poesía es necesaria,1
me crees un loco los locos no saben nada pero deberías haberme visto deberías haber visto qué tan sabiamente,1
de risa debe ser la más gloriosa de todas las gloriosas muertes,1
si te quedas sin ideas sigue tu camino llegarás allí,1
si un hombre me engaña una vez me avergüenzo de él si me engaña dos veces siento lástima de mí,1
era de noche y la lluvia caía y cayendo era lluvia pero habiendo caído era sangre,1
los límites que dividen la vida de la muerte son en el mejor de los casos sombríos y vagos dirá dónde termina uno y dónde comienza el otro,1
aquellos que sueñan de día son conscientes de muchas cosas que escapan de aquellos que solo sueñan por la noche,1
tengo la intención de no aguantar nada que pueda reprimir,1
mantén siempre una botella de licor a tu lado si un pájaro comienza a decir tonterías en medio de la noche sírvete una copa,1
es una felicidad maravillarse es una felicidad soñar,1
en un lugar de la mancha de cuyo nombre no quiero,1
locura o desatino me lleva a contar las ajenas faltas teniendo tanto que decir de las mías,1
más vale la pena en el rostro que la mancha en el corazón,1
la abundancia de las cosas aunque sean buenas hace que no se estimen y la carestía aún de las malas se estima en algo,1
ayer lloraba el que hoy ríe y hoy llora el que ayer rió,1
hacer bien a villanos es echar agua en el mar,1
amor y deseo son dos cosas diferentes que no todo lo que se ama se desea ni todo lo que se desea se ama,1
si los celos son señales de amor es como la calentura en el hombre enfermo que el tenerla es señal de tener vida pero vida enferma y mal dispuesta,1
la libertad sancho es uno de los más preciosos dones que a los hombres dieron los cielos con ella no pueden igualarse los tesoros que encierran la tierra y el mar por la libertad así como por la honra se puede y debe aventurar la vida,1
una retirada no es una derrota,1
promesas de enamorados por la mayor parte son ligeras de prometer y muy pesadas de cumplir,1
el que lee mucho y anda mucho va mucho y sabe mucho,1
cuando la cólera sale de madre no tiene la lengua padre ayo ni freno que la corrija,1
tal vez en la llaneza y en la humildad suelen esconderse los regocijos más aventajados,1
por eso juzgo y discierno por cosa cierta y notoria que tiene el amor su gloria a las puertas del infierno,1
dad crédito a las obras y no a las palabras,1
confía en el tiempo que suele dar dulces salidas a muchas amargas dificultades,1
más quiero ser malo con esperanza de ser bueno que bueno con el propósito de ser malo,1
no hay recuerdo que el tiempo no borre ni pena que la muerte no acabe,1
las tristezas no se hicieron para las bestias sino para los hombres pero si los hombres las sienten demasiado se vuelven bestias,1
aún entre los demonios hay unos peores que otros y entre muchos malos hombres suele haber alguno bueno,1
cada uno es artífice de su propia ventura,1
de gente bien nacida es agradecer los beneficios que recibe,1
no seas ni siempre riguroso ni siempre blando y escoge entre estos dos extremos que en ello está el punto de la discreción,1
no desees y serás el hombre más rico del mundo,1
la culpa del asno no se la he de echar a la albarda,1
sé lento con la lengua y rápido con el ojo,1
la alabanza tanto es buena cuanto es bueno el que la dice y tanto es mala cuando es malo y vicioso el que alaba,1
el sueño es el alivio de las miserias para los que las sufren despiertos,1
sabe más el tonto en su casa que el sabio en la ajena,1
un buen arrepentimiento es la mejor medicina que tienen las enfermedades del alma,1
cada uno es como dios lo hizo y aún peor muchas veces,1
no hay ningún camino que no se acabe como no se le oponga la pereza y la ociosidad,1
el amor junta los cetros con los cayados la grandeza con la bajeza hace posible lo imposible iguala diferentes estados y viene a ser poderoso como la muerte,1
pocas o ninguna vez se cumple con la ambición que no sea con daño de tercero,1
el andar las tierras y comunicar con diversas gentes hace a los hombres discretos,1
posible que vuestra merced no sabe que las comparaciones que se hacen de ingenio a ingenio de valor a valor de hermosura a hermosura y de linaje a linaje son siempre odiosas y mal recibidas,1
más vale un toma que dos te daré,1
de las miserias suele ser alivio una compañía,1
las venganzas castigan pero no quitan las culpas,1
puede haber amor sin celos pero no sin temores,1
la verdad adelgaza pero no quiebra,1
el hombre bien preparado para la lucha ya ha conseguido medio triunfo,1
la senda de la virtud es muy estrecha y el camino del vicio ancho y espacioso,1
el que no sabe gozar de la aventura cuando le viene no debe quejarse si se pasa,1
esta que llaman por ahí fortuna es una mujer borracha y antojadiza y sobre todo ciega y así no ve lo que hace ni sabe a quien derriba,1
sé breve en tus razonamientos que ninguno hay gustoso si es largo,1
no ames lo que eres sino lo que puedes llegar a ser,1
la ingratitud es hija de la soberbia,1
la falsedad tiene alas y vuela y la verdad la sigue arrastrándose de modo que cuando las gentes se dan cuenta del engaño ya es demasiado tarde,1
